Best in show?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"By dog breed: Dog Intelligence & Other Qualities vs Most Abandoned. Ideal dog: Life expectancy, IQ, congenital ailments, cuteness, price, maintenance, size vs Price vs Most Abandoned",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources - see bottom right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,POPULARITY,,INTELLIGENCE (TRAINABILITY),,,,,LONGEVITY,,,GENETIC DISEASES,,,,CUTENESS,,LIFETIME COST,PURCHASE PRICE,,,,FOOD COSTS,,,,,OTHER REGULAR COSTS,,,,,,,,ONE OFFS,,OTHER,,,SIZE ,,,,,,,,,
Dog breed,,exclude?,,category,,"popularity ranking (1-173, 1 = most popular)",,intelligence ranking,intelligence category,repetitions to understand new commands,obey first command (% of time),,life expectancy (years),survey sample size,,congenital ailments: summary / areas affected,No.,congenital ailments: detail,,cuteness rating (adults),,"total lifetime cost, $",average price (US $),price bracket,lowest (US$),highest (US$),"food per week, average, £","min, £","max, £","food per week, $","food per lifetime, $","total per lifetime, $","total  per year, $","total, per year, £","toys, presents, treats, per year, £","pet sitters, per year, £","grooming, per year, £","vet fees per year, £","kennels per year, £","one offs, $",,grooming required,suitability for children,,size category,weight (kg),weight (lbs),shoulder height (cm),shoulder height (in),,note,source,link,
,,X = exclude,,American Kennel Club group,,"US. American Kennel Club registrations 2011, pure breeds only",,,,,,,weighted average - see note,<20 = not trustworthy,,only serious + common for breed,serious only,only serious + common for breed,,6 = super cute. 1 = not at all cute. subjective!,,,"mean, from puppyfind.com",,,,,,,converted to US $ using Google Finance,food per week x 52.1775 x average lifespan (column N),"if no average lifespan data, then 'no data'",converted to US $ using Google Finance,,averaged across all dog breeds. pet food excluded as calculated separately (see food costs),,,,,"Initial outlay: leash, collar, ID tag; food dishes; crate & bedding; toys and chews.",,once every.. (day / week),"high, medium, low",,,"mean of 'ideal' range for breed, mean of dogs and bitches",,,,,"popularity ranking: some breeds not included. intelligence ranking: some rank spots have multiple breeds. longevity is weighted average (mean) of several sources. price is mean price, first 10 puppies/breed, puppyfind.com 11-13 July 2012.",,,
Affenpinscher,,,,toy,,139,,37,Above average,15-25,>70,,11.42,21,,none,0,none,,4,,"15,456",510,budget,200,800,4,4,4,5.2,"3,100","11,645","1,020",784,121,126,244,177,116,200,,week,medium,,small,no data,no data,26,10.25,,,,,
Afghan Hound,,,,hound,,88,,80,Lowest,80-100,<25,,11.92,154,,none,0,none,,2,,"20,324",890,mid-price,450,1000,8.75,7.5,10,11.38,"7,078","12,155","1,020",784,121,126,244,177,116,200,,day,high,,large,25,55,66,26,,,,,
Airedale Terrier,,,,terrier,,55,,29,Above average,15-25,>70,,11.45,307,,hip problems,1,hip dysplasia,,4,,no data,733,mid-price,475,1200,no data,no data,no data,no data,no data,"11,676","1,020",784,121,126,244,177,116,200,,-,-,,medium,no data,no data,58,23,,,,,
Akita,,,,working,,47,,54,Average,25-40,>50,,10.16,192,,hip problems,1,hip dysplasia,,2,,"17,795","1,202",mid-price,565,1800,8.75,7.5,10,11.38,"6,033","10,361","1,020",784,121,126,244,177,116,200,,week,low,,large,no data,no data,66,26,,,,,
Alaskan Malamute,,,,working,,58,,50,Average,25-40,>50,,10.67,14,,"hip problems, dwarfism",2,"Hip dysplasia, Osteochondrodysplasia - skeletal dwarfism",,3,,"18,626","1,210",mid-price,550,2350,8.75,7.5,10,11.38,"6,336","10,881","1,020",784,121,126,244,177,116,200,,day,medium,,large,36,80,61,24,,Longevity based on UK KC Survey 2004,UK Kennel Club survey 2004,http://www.thekennelclub.org.uk/item/549,
American English Coonhound,,,,hound,,33,,no data,no data,no data,no data,,no data,-,,no data,no data,no data,,2,,no data,283,budget,100,350,no data,no data,no data,no data,no data,no data,"1,020",784,121,126,244,177,116,200,,-,-,,large,no data,no data,62,24.5,,6 dogs for sale only,,,
American Eskimo Dog,,,,non-sporting,,116,,no data,no data,no data,no data,,no data,-,,none,0,none,,3,,no data,560,budget,300,950,no data,no data,no data,no data,no data,no data,"1,020",784,121,126,244,177,116,200,,-,-,,small,no data,no data,36,14,,,,,
American Foxhound,,,,hound,,173,,46,Average,25-40,>50,,no data,-,,no data,no data,no data,,3,,no data,757,mid-price,250,1000,no data,no data,no data,no data,no data,no data,"1,020",784,121,126,244,177,116,200,,-,-,,medium,no data,no data,58,23,,Price: only 7 puppies listed for this breed,,,
American Staffordshire Terrier,,,,terrier,,72,,34,Above average,15-25,>70,,no data,-,,skin problems,1,Demodicosis/ Demodectic mange,,1,,no data,"1,043",mid-price,250,1500,no data,no data,no data,no data,no data,no data,"1,020",784,121,126,244,177,116,200,,-,-,,medium,no data,no data,46,18,,,,,
American Water Spaniel,,,,sporting,,157,,44,Average,25-40,>50,,no data,-,,none,0,none,,3,,no data,730,mid-price,600,1250,no data,no data,no data,no data,no data,no data,"1,020",784,121,126,244,177,116,200,,-,-,,medium,16,35,42,16.5,,,,,
Anatolian Shepherd Dog,,,,working,,111,,no data,no data,no data,no data,,10.75,23,,no data,no data,no data,,3,,no data,685,budget,no data,no data,8.75,7.5,10,11.38,"6,384","10,962","1,020",784,121,126,244,177,116,200,,week,medium,,large,52,115,71,28,,,,,
Australian Cattle Dog,,,,herding,,60,,10,Brightest,<5,>95,,11.67,11,,hip problems,1,hip dysplasia,,2,,"17,184",530,budget,250,1000,5.75,4,7.5,7.48,"4,554","11,900","1,020",784,121,126,244,177,116,200,,week,low,,medium,no data,no data,47,18.5,,,,,
Australian Shepherd,,,,herding,,24,,42,Average,25-40,>50,,12.28,641,,"deafness, hip problems",2,"deafness, hip dysplasia",,3,,"18,079",565,budget,250,1000,5.75,4,7.5,7.48,"4,792","12,522","1,020",784,121,126,244,177,116,200,,week,medium,,medium,no data,no data,52,20.5,,,,,
Australian Terrier,,,,terrier,,121,,34,Above average,15-25,>70,,11.05,241,,none,0,none,,4,,"15,108",640,budget,200,900,4,4,4,5.2,"3,000","11,268","1,020",784,121,126,244,177,116,200,,week,medium,,small,no data,no data,27,10.5,,,,,
Basenji,,,,hound,,93,,79,Lowest,80-100,<25,,13.58,46,,"kidney, eye problems, anaemia",3,"Fanconi syndrome, Persistent pupillary membranes (PPM), Pyruvate kinase (PK) deficiency",,3,,"18,675",940,mid-price,600,1200,4,4,4,5.2,"3,687","13,848","1,020",784,121,126,244,177,116,200,,week,medium,,medium,10,23,42,16.5,,,,,
Basset Hound,,,,hound,,41,,71,Lowest,80-100,<25,,11.43,152,,"blood, skin disorders",2,"Platelet dysfunction (thrombocytopathia, Basset hound thrombopathia), seborrhea",,5,,"15,448",490,budget,150,1000,4,4,4,5.2,"3,103","11,656","1,020",784,121,126,244,177,116,200,,week,high,,small,no data,no data,36,14,,,,,
Beagle,,,,hound,,3,,73,Lowest,80-100,<25,,12.3,303,,heart problems,1,Pulmonic stenosis,,5,,"16,369",288,budget,100,600,4,4,4,5.2,"3,339","12,543","1,020",784,121,126,244,177,116,200,,day,high,,small,no data,no data,36,14,,,,,
Bearded Collie,,,,herding,,112,,34,Above average,15-25,>70,,12.77,551,,none,0,none,,5,,no data,675,budget,no data,no data,5.75,4,7.5,7.48,"4,983","13,022","1,020",784,121,126,244,177,116,200,,day,high,,medium,no data,no data,53,21,,,,,
Beauceron,,,,herding,,144,,no data,no data,no data,no data,,no data,-,,no data,no data,no data,,2,,no data,967,mid-price,950,"1,000",no data,no data,no data,no data,no data,no data,"1,020",784,121,126,244,177,116,200,,-,-,,large,no data,no data,65,25.75,,3 dogs for sale only,,,
Bedlington Terrier,,,,terrier,,134,,40,Average,25-40,>50,,13.51,54,,"liver, eye problems",2,"Chronic hepatitis, Retinal dysplasia",,2,,"18,702","1,058",mid-price,250,1800,4,4,4,5.2,"3,668","13,777","1,020",784,121,126,244,177,116,200,,week,medium,,small,9,20,no data,no data,,Price: only 6 puppies for breed,,,
Belgian Malinois,,,,herding,,74,,22,Excellent,15-May,>85,,no data,-,,none,0,none,,3,,no data,"1,080",mid-price,550,2000,5.75,4,7.5,7.48,no data,no data,"1,020",784,121,126,244,177,116,200,,week,high,,large,no data,no data,61,24,,,,,
Belgian Shepherd Dog,,,,herding,,118,,15,Excellent,15-May,>85,,no data,-,,"cataracts + other eye problems, muscular dystrophy",4,"Cataracts, Pannus - chronic superficial keratitis, Progressive retinal atrophy, X-linked muscular dystrophy",,3,,no data,"1,200",mid-price,no data,no data,no data,no data,no data,no data,no data,no data,"1,020",784,121,126,244,177,116,200,,-,-,,large,no data,no data,61,24,,,,,
Belgian Shepherd Dog (Tervuren),,,,herding,,108,,14,Excellent,15-May,>85,,10.6,105,,"epilepsy, eye problems",2,"Idiopathic epilepsy, Pannus - chronic superficial keratitis",,3,,"16,216","1,070",mid-price,850,1200,5.75,4,7.5,7.48,"4,136","10,809","1,020",784,121,126,244,177,116,200,,week,high,,large,no data,no data,61,24,,,,,
Bernese Mountain Dog,,,,working,,34,,22,Excellent,15-May,>85,,7.56,701,,"meningitis, elbow + hip problems, complex immune disorder",4,"Meningitis, Elbow dysplasia - OCD of the elbow, Hip dysplasia, Histiocytosis",,4,,"13,719","1,320",mid-price,750,2500,8.75,7.5,10,11.38,"4,489","7,709","1,020",784,121,126,244,177,116,200,,day,high,,large,no data,no data,64,25.25,,,,,
Bichon Frise,,,,non-sporting,,39,,45,Average,25-40,>50,,12.21,146,,none,0,none,,6,,"16,658",693,budget,250,1500,4,4,4,5.2,"3,315","12,451","1,020",784,121,126,244,177,116,200,,day,high,,small,no data,no data,27,10.5,,,,,
Black and Tan Coonhound,,,,hound,,109,,44,Average,25-40,>50,,no data,-,,none,0,none,,4,,no data,325,budget,200,500,no data,no data,no data,no data,no data,no data,"1,020",784,121,126,244,177,116,200,,-,-,,large,no data,no data,64,25,,,,,
Black Russian Terrier,,,,working,,128,,no data,no data,no data,no data,,1.83 - really?,4,,none,0,none,,3,,no data,"2,833",high-end,2500,3000,no data,no data,no data,no data,no data,no data,"1,020",784,121,126,244,177,116,200,,-,-,,large,no data,no data,71,28,,3 dogs for sale only,,,
Bloodhound,,,,hound,,48,,75,Lowest,80-100,<25,,6.75,82,,"fatal stomach bloat, skin problems",2,"Gastric dilatation-volvulus, Hip dysplasia",,5,,"11,699",608,budget,200,1000,8.75,7.5,10,11.38,"4,008","6,883","1,020",784,121,126,244,177,116,200,,week,medium,,large,39,85,64,25,,,,,
Bluetick Coonhound,,,,hound,,136,,no data,no data,no data,no data,,no data,-,,none,0,none,,3,,no data,370,budget,200,500,no data,no data,no data,no data,no data,no data,"1,020",784,121,126,244,177,116,200,,-,-,,large,28,62.5,61,24,,,,,
Border Collie,,,,herding,,45,,1,Brightest,<5,>95,,12.52,164,,"eye problems, deafness",2,"Collie eye anomaly, deafness",,3,,"16,988",623,budget,175,1050,4,4,4,5.2,"3,399","12,767","1,020",784,121,126,244,177,116,200,,week,low,,medium,no data,no data,51,20,,,,,
Border Terrier,,,,terrier,,80,,30,Above average,15-25,>70,,14,177,,none,0,none,,4,,"19,110",833,mid-price,250,1200,4,4,4,5.2,"3,801","14,276","1,020",784,121,126,244,177,116,200,,week,high,,small,6,13.5,no data,no data,,,,,
Borzoi,,,,hound,,102,,76,Lowest,80-100,<25,,9.08,87,,none,0,none,,2,,"13,678",675,budget,300,1250,5.75,4,7.5,7.48,"3,543","9,259","1,020",784,121,126,244,177,116,200,,day,medium,,large,37,82.5,71,28,,"At least 28 in tall (males), 26 (females)",,,
Boston Terrier,,,,non-sporting,,22,,54,Average,25-40,>50,,10.92,42,,breathing problems,1,brachycephalic syndrome,,4,,"14,990",690,budget,400,1050,4,4,4,5.2,"2,964","11,136","1,020",784,121,126,244,177,116,200,,week,high,,medium,NA (3 classes),NA (3 classes),no data,no data,,,,,
Bouvier des Flandres,,,,herding,,83,,29,Above average,15-25,>70,,10.34,1079,,hip problems,1,hip dysplasia,,3,,"16,114","1,335",mid-price,800,2500,5.75,4,7.5,7.48,"4,035","10,544","1,020",784,121,126,244,177,116,200,,week,high,,large,no data,no data,65,25.5,,,,,
Boxer,,,,working,,7,,48,Average,25-40,>50,,8.81,2112,,"eye, nerve, heart problems",4,"Corneal dystrophy, Degenerative myelopathy, Dilated cardiomyopathy, Subaortic stenosis",,5,,"13,322",700,mid-price,300,2500,5.75,4,7.5,7.48,"3,438","8,984","1,020",784,121,126,244,177,116,200,,week,high,,medium,no data,no data,59,23.25,,,,,
Boykin Spaniel,,,,sporting,,138,,no data,no data,no data,no data,,no data,-,,no data,no data,no data,,3,,no data,531,budget,200,800,no data,no data,no data,no data,no data,no data,"1,020",784,121,126,244,177,116,200,,-,-,,medium,no data,no data,41,16,,,,,
Briard,,,,herding,,125,,30,Above average,15-25,>70,,11.17,71,,hip problems,1,hip dysplasia,,4,,"16,599",650,budget,500,800,5.75,4,7.5,7.48,"4,359","11,390","1,020",784,121,126,244,177,116,200,,day,high,,large,no data,no data,62,24.5,,Only 2 puppies for sale,,,
Brittany,,,,sporting,,30,,19,Excellent,15-May,>85,,12.92,28,,none,0,none,,4,,"19,034",618,budget,300,1200,5.75,4,7.5,7.48,"5,042","13,175","1,020",784,121,126,244,177,116,200,,week,medium,,medium,16,35,48,19,,,,,
Brussels Griffon,,,,toy,,77,,59,Fair,40-80,>30,,12,71,,none,0,none,,5,,"16,527",833,mid-price,500,1500,4,4,4,5.2,"3,258","12,237","1,020",784,121,126,244,177,116,200,,week,low,,small,4,9,no data,no data,,,,,
Bull Terrier,,,,terrier,,51,,66,Fair,40-80,>30,,10.21,225,,"heart problems, zinc metabolism disorder",2,"lethal acrodermatitis, Mitral valve dysplasia",,1,,"15,681","1,085",mid-price,300,1750,5.75,4,7.5,7.48,"3,984","10,412","1,020",784,121,126,244,177,116,200,,week,medium,,medium,27,60,55,21.5,,,,,
Bulldog,,,,non-sporting,,6,,78,Lowest,80-100,<25,,6.29,197,,"breathing, hip, heart problems, 'dry eye'",5,"brachycephalic syndrome, Hip dysplasia, Keratoconjunctivitis sicca (KCS) - ""dry eye"", Pulmonic stenosis, Ventricular septal defect (VSD)",,1,,"11,749","2,680",high-end,1500,5500,5.75,4,7.5,7.48,"2,455","6,414","1,020",784,121,126,244,177,116,200,,week,medium,,medium,20,45,no data,no data,,English bulldog,,,
Bullmastiff,,,,working,,40,,69,Fair,40-80,>30,,7.57,103,,"eye, hip problems",2,"Entropion, Hip dysplasia",,4,,"11,853",980,mid-price,600,1600,5.75,4,7.5,7.48,"2,954","7,719","1,020",784,121,126,244,177,116,200,,week,high,,large,52,115,65,25.5,,,,,
Cairn Terrier,,,,terrier,,59,,35,Above average,15-25,>70,,13.84,156,,"'lion jaw', heart problems  ",2,"Craniomandibular osteopathy (""lion jaw""), Mitral valve dysplasia",,4,,"18,505",435,budget,300,600,4,4,4,5.2,"3,757","14,113","1,020",784,121,126,244,177,116,200,,week,high,,small,6,14,25,10,,,,,
Canaan Dog,,,,herding,,168,,no data,no data,no data,no data,,14.67,2,,none,0,none,,3,,no data,"2,012",high-end,no data,no data,5.75,4,7.5,7.48,"5,725","14,960","1,020",784,121,126,244,177,116,200,,week,high,,medium,20,45,55,21.5,,,,,
Cane Corso,,,,working,,67,,no data,no data,no data,no data,,no data,-,,no data,no data,no data,,1,,no data,"1,070",mid-price,900,1500,no data,no data,no data,no data,no data,no data,"1,020",784,121,126,244,177,116,200,,-,-,,large,no data,no data,64,25,,,,,
Cardigan Welsh Corgi,,,,herding,,81,,26,Excellent,15-May,>85,,12.7,53,,none,0,none,,4,,no data,828,mid-price,395,1085,no data,no data,no data,no data,no data,"12,951","1,020",784,121,126,244,177,116,200,,-,-,,small,14,31.5,29,11.5,,,,,
Cavalier King Charles Spaniel,,,,toy,,21,,44,Average,25-40,>50,,11.29,829,,"heart, spinal problems",2,"Mitral valve dysplasia, Chiari-like malformation (CM) and syringomyelia (SM)",,5,,"15,794","1,017",mid-price,100,1800,4,4,4,5.2,"3,065","11,513","1,020",784,121,126,244,177,116,200,,week,high,,small,7,15.5,32,12.5,,,,,
Cesky Terrier,,,,terrier,,106,,no data,no data,no data,no data,,8.42,9,,no data,no data,no data,,2,,no data,no data,no data,no data,no data,5.75,4,7.5,7.48,"3,286","8,586","1,020",784,121,126,244,177,116,200,,week,high,,small,9,19,29,11.5,,,,,
Chesapeake Bay Retriever,,,,sporting,,46,,27,Above average,15-25,>70,,9.48,776,,hip problems,1,hip dysplasia,,3,,"14,089",522,budget,175,795,5.75,4,7.5,7.48,"3,699","9,667","1,020",784,121,126,244,177,116,200,,week,high,,large,31,67.5,60,23.5,,,,,
Chihuahua,,,,toy,,14,,67,Fair,40-80,>30,,no data,-,,knee problems,1,Patellar luxation,,6,,no data,588,budget,200,1500,4,4,4,5.2,no data,no data,"1,020",784,121,126,244,177,116,200,,week,low,,small,2,5.5,no data,no data,,weight should not exceed 6 pounds,,,
Chinese Crested,,,,toy,,61,,61,Fair,40-80,>30,,10.08,829,,no data,no data,no data,,2,,no data,538,budget,125,1300,no data,no data,no data,no data,no data,"10,279","1,020",784,121,126,244,177,116,200,,-,-,,small,no data,no data,30,12,,,,,
Chinese Shar Pei,,,,non-sporting,,50,,51,Average,25-40,>50,,no data,-,,"canine hay fever, skin, eye, hip problems",4,"Atopy, Demodicosis/ Demodectic mange, Entropion, Hip dysplasia",,4,,no data,840,mid-price,350,2000,no data,no data,no data,no data,no data,no data,"1,020",784,121,126,244,177,116,200,,-,-,,medium,24,52.5,48,19,,,,,
Chow Chow,,,,non-sporting,,68,,77,Lowest,80-100,<25,,9.01,38,,"eye, hip problems",2,"Entropion, Hip dysplasia",,5,,"13,419",515,budget,200,750,5.75,4,7.5,7.48,"3,516","9,188","1,020",784,121,126,244,177,116,200,,day,medium,,medium,no data,no data,47,18.5,,,,,
Clumber Spaniel,,,,sporting,,133,,37,Above average,15-25,>70,,10,301,,none,0,none,,2,,"15,333","1,033",mid-price,800,1500,5.75,4,7.5,7.48,"3,902","10,197","1,020",784,121,126,244,177,116,200,,week,high,,medium,32,70,47,18.5,,,,,
